"Country","Industry","Industry_simple","Code_num","Code_type","Code_length","Aggregate_level","GVA_abbrev","Units","GVA_total","Currency_ISO","Metric","Metric_type","Year","Base_year","Effective_year_GDP","GDP_annual","GDP_perc_norm","Source1","Source1_info","Confidence1","Notes","Source2"
"Belize","Mining and quarrying","Mining","B",NA,1,1,62.9,1e+06,62900000,"BZD","GDP","Constant",2021,"2014",2014,4250251212.51446,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying","Mining","B",NA,1,1,59.2,1e+06,59200000,"BZD","GDP","Constant",2022,"2014",2014,4250251212.51446,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,26,1e+06,2.6e+07,"BZD","GDP","Constant",2019,"2014",2014,4250251212.51446,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,20.5,1e+06,20500000,"BZD","GDP","Constant",2020,"2014",2014,4250251212.51446,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,39.8,1e+06,39800000,"BZD","GDP","Constant",2021,"2014",2014,4250251212.51446,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,43.9,1e+06,43900000,"BZD","GDP","Constant",2022,"2014",2014,4250251212.51446,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Constant Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,33.5,1e+06,33500000,"BZD","GDP","Current",2019,"Current",2019,4773584952.21273,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,27.3,1e+06,27300000,"BZD","GDP","Current",2020,"Current",2020,4095455620.13554,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,50,1e+06,5e+07,"BZD","GDP","Current",2021,"Current",2021,4849150358.75661,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
"Belize","Mining and quarrying, no oil/gas","Mining","B",NA,2,2,53.6,1e+06,53600000,"BZD","GDP","Current",2022,"Current",2022,5661015151.36819,NA,"https://sib.org.bz/statistics/economic-statistics/gross-domestic-product/#1689204024976-3da295fb-5c09","Annual GDP by Activity, Current Prices","High","""For example, China obtains 17% of their RFMO-reported tuna catches in the mining areas and 200-km zone, while Belize and Nicaragua obtain 11% (Amon et al. 2023)

1990-2022 annual data",NA
